region_sector,trigram_desc,trigram_desc_en,description,type,output,final_demand,share_exporting_firms,usd_per_ton,sector,cutoff
ECU_POS,postales/correo,post/mail,Actividades postales y de correo,service,1204852,174107,0.0,5559.097267,POS,60242.6
ECU_PPR,pescado procesado,processing of fish and similar,Procesamiento de pescado y otros productos acuáticos elaborados,agriculture,590285,4418772,0.768387477,821.0123491,PPR,29514.25
ECU_QU1,química primarios,"basic chemical products, fertilizers","Fabricación de sustancias químicas básicas, abonos y plásticos primarios",manufacturing,3141529,35791,0.106218655,5438.605441,QU1,157076.45
ECU_QU2,química otros,other chemical products,Fabricación de otros productos químicos,manufacturing,9588321,975110,0.056090772,5438.605441,QU2,479416.05
ECU_REF,refinados de petróleo,refined petroleum products,Fabricación de productos refinados de petróleo y de otros,manufacturing,280832,1530715,0.146312067,5438.605441,REF,14041.6
ECU_REP,reparación,motor vehicle reparations,Servicios de reparación y mantenimiento de vehículos de motor y motocicletas,service,3652601,465998,0.001048262,,REP,182630.05
ECU_RES,alimento y bebida (restauración),food and drink (restaurants),Servicio de alimento y bebida,service,4102296,2748841,0.000560873,,RES,205114.8
ECU_SAL,salud,health,Servicios sociales y de salud no de mercado,service,1363527,4894576,0.000271435,,SAL,68176.35
ECU_SEG,seguros,insurance,"Financiación de planes de seguro, excepto seguridad social",service,6653216,618239,0.0,,SEG,332660.8
ECU_SIL,silvicultura,forestry,"Silvicultura, extracción de madera y actividades relacionadas",agriculture,8435168,523135,0.039038348,11125.79431,SIL,421758.4
ECU_TAB,tabaco,tobacco,Elaboración de productos de tabaco,agriculture,8391776,101033,0.174279691,4578.501561,TAB,419588.8
ECU_TEL,comunicación/información,communication and information,Comunicaciones e información,utility,6350849,2905382,0.017593216,,TEL,317542.45
ECU_TRA,transporte,transport,Transporte y almacenamiento,transport,4910932,4208200,0.041931955,12192.43743,TRA,245546.6
ECU_VES,prendas de vestir,clothing,Fabricación de prendas de vestir ,manufacturing,2725404,758144,0.045238721,801.6783896,VES,136270.2
ECU_VID,vidrios/cerámicas,glasses and ceramics,"Fabricación de vidrio, productos refractarios y de cerámica ",manufacturing,503284,62475,0.076407748,719.8854359,VID,25164.2
